"Time","Region Code","Region","Consumer Price Index (All items) 2020 base","Annotation"
"Dec.2020","00000","Japan","99.3",""
"Jan.2021","00000","Japan","99.8",""
"Feb.2021","00000","Japan","99.8",""
"Mar.2021","00000","Japan","99.9",""
"Apr.2021","00000","Japan","99.1",""
"May 2021","00000","Japan","99.4",""
"Jun.2021","00000","Japan","99.5",""
"Jul.2021","00000","Japan","99.7",""
"Aug.2021","00000","Japan","99.7",""
"Sep.2021","00000","Japan","100.1",""
"Oct.2021","00000","Japan","99.9",""
"Nov.2021","00000","Japan","100.1",""
"Dec.2021","00000","Japan","100.1",""
"Jan.2022","00000","Japan","100.3",""
"Feb.2022","00000","Japan","100.7",""
"Mar.2022","00000","Japan","101.1",""
"Apr.2022","00000","Japan","101.5",""
"May 2022","00000","Japan","101.8",""
"Jun.2022","00000","Japan","101.8",""
"Jul.2022","00000","Japan","102.3",""
"Aug.2022","00000","Japan","102.7",""
"Sep.2022","00000","Japan","103.1",""
"Oct.2022","00000","Japan","103.7",""
"Nov.2022","00000","Japan","103.9",""
"Dec.2022","00000","Japan","104.1",""
"Jan.2023","00000","Japan","104.7",""
"Feb.2023","00000","Japan","104.0",""
"Mar.2023","00000","Japan","104.4",""
"Apr.2023","00000","Japan","105.1",""
"May 2023","00000","Japan","105.1",""
"Jun.2023","00000","Japan","105.2",""
"Jul.2023","00000","Japan","105.7",""
"Aug.2023","00000","Japan","105.9",""
"Sep.2023","00000","Japan","106.2",""
"Oct.2023","00000","Japan","107.1",""
"Nov.2023","00000","Japan","106.9",""
"Dec.2023","00000","Japan","106.8",""
"Jan.2024","00000","Japan","106.9",""
"Feb.2024","00000","Japan","106.9",""
"Mar.2024","00000","Japan","107.2",""
"Apr.2024","00000","Japan","107.7",""
"May 2024","00000","Japan","108.1",""
"Jun.2024","00000","Japan","108.2",""
"Jul.2024","00000","Japan","108.6",""
"Aug.2024","00000","Japan","109.1",""
"Sep.2024","00000","Japan","108.9",""
"Oct.2024","00000","Japan","109.5",""
"Nov.2024","00000","Japan","110.0",""
"Dec.2024","00000","Japan","110.7",""
"Jan.2025","00000","Japan","111.2",""
"Feb.2025","00000","Japan","110.8",""
